"","employee_residence","company_location","count","lat_employee","long_employee","lat_company","long_company"
"95","Russia","United States",2,63.5447605943304,99.1667836484683,48.7433333759119,-121.625310071961
"96","Uzbekistan","Russia",2,41.1948054783965,66.0713482164357,63.5447605943304,99.1667836484683
"97","Armenia","Russia",1,40.210920621271,45.2330424687634,63.5447605943304,99.1667836484683
"98","Bermuda","Algeria",1,32.3074088096619,-64.7653398513794,29.2280776120975,1.78059546285195
"99","Croatia","Hungary",1,44.6420402118866,16.3487858568283,47.2322648663387,19.4239312822574
"100","Croatia","United States",1,44.6420402118866,16.3487858568283,48.7433333759119,-121.625310071961
"101","Georgia","Russia",1,42.0642349429247,43.8700507559427,63.5447605943304,99.1667836484683
"102","Georgia","United States",1,42.0642349429247,43.8700507559427,48.7433333759119,-121.625310071961
"103","Greece","United Kingdom",1,38.3587526711973,23.9405368813198,55.5581316630046,-4.09875010597435
"104","Ukraine","Poland",1,48.4791987089984,31.2336948164093,51.4099779370465,19.0865157193775
"105","United States","Greece",1,48.7433333759119,-121.625310071961,38.3587526711973,23.9405368813198
"106","Uzbekistan","Russia",1,41.1948054783965,66.0713482164357,63.5447605943304,99.1667836484683
"107","Vietnam","American Samoa",1,16.5251135678315,106.111408476339,-14.307079911232,-170.707612991333
